tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,43.0,1.5,0.0,0.0,0.0,0.0
blue,38.0,1.5,0.0,0.0,0.0,0.0
blue,33.0,1.5,0.0,0.0,0.0,0.0
blue,28.0,1.5,0.0,0.0,0.0,0.0
blue,23.0,1.5,0.0,0.0,0.0,0.0
blue,18.0,1.5,0.0,0.0,0.0,0.0
blue,13.0,1.5,0.0,0.0,0.0,0.0
blue,8.0,1.5,0.0,0.0,0.0,0.0
blue,48.0,1.5,0.0,0.0,0.0,0.0
blue,53.0,1.5,0.0,0.0,0.0,0.0
blue,63.0,1.5,0.0,0.0,0.0,0.0
blue,68.0,1.5,0.0,0.0,0.0,0.0
blue,73.0,1.5,0.0,0.0,0.0,0.0
blue,58.0,1.5,0.0,0.0,0.0,0.0
yellow,43.0,-1.5,0.0,0.0,0.0,0.0
yellow,38.0,-1.5,0.0,0.0,0.0,0.0
yellow,33.0,-1.5,0.0,0.0,0.0,0.0
yellow,28.0,-1.5,0.0,0.0,0.0,0.0
yellow,23.0,-1.5,0.0,0.0,0.0,0.0
yellow,18.0,-1.5,0.0,0.0,0.0,0.0
yellow,13.0,-1.5,0.0,0.0,0.0,0.0
yellow,8.0,-1.5,0.0,0.0,0.0,0.0
yellow,48.0,-1.5,0.0,0.0,0.0,0.0
yellow,53.0,-1.5,0.0,0.0,0.0,0.0
yellow,63.0,-1.5,0.0,0.0,0.0,0.0
yellow,68.0,-1.5,0.0,0.0,0.0,0.0
yellow,73.0,-1.5,0.0,0.0,0.0,0.0
yellow,58.0,-1.5,0.0,0.0,0.0,0.0
orange,83.0,-1.5,0.0,0.0,0.0,0.0
orange,83.0,1.5,0.0,0.0,0.0,0.0
orange,88.0,-1.5,0.0,0.0,0.0,0.0
orange,88.0,1.5,0.0,0.0,0.0,0.0
orange,93.0,-1.5,0.0,0.0,0.0,0.0
orange,93.0,1.5,0.0,0.0,0.0,0.0
orange,98.0,-1.5,0.0,0.0,0.0,0.0
orange,98.0,1.5,0.0,0.0,0.0,0.0
orange,103.0,-0.75,0.0,0.0,0.0,0.0
orange,103.0,-1.5,0.0,0.0,0.0,0.0
orange,103.0,0.75,0.0,0.0,0.0,0.0
orange,103.0,1.5,0.0,0.0,0.0,0.0
big_orange,3.0,-1.5,0.0,0.0,0.0,0.0
big_orange,3.0,1.5,0.0,0.0,0.0,0.0
big_orange,2.5,-1.5,0.0,0.0,0.0,0.0
big_orange,2.5,1.5,0.0,0.0,0.0,0.0
big_orange,78.0,-1.5,0.0,0.0,0.0,0.0
big_orange,78.0,1.5,0.0,0.0,0.0,0.0
